# id	source	author	licence
acorn	https://drawshield.net (Drawshield-Code svg/charges)	Karl Wilcox & DrawShield contributors	GPLv3 repo / mixed PD+CC art
amphora	https://drawshield.net (Drawshield-Code svg/charges)	Karl Wilcox & DrawShield contributors	GPLv3 repo / mixed PD+CC art
anchor	https://drawshield.net (Drawshield-Code svg/charges)	Karl Wilcox & DrawShield contributors	GPLv3 repo / mixed PD+CC art
antelope	https://drawshield.net (Drawshield-Code svg/charges)	Karl Wilcox & DrawShield contributors	GPLv3 repo / mixed PD+CC art
anvil	https://drawshield.net (Drawshield-Code svg/charges)	Karl Wilcox & DrawShield contributors	GPLv3 repo / mixed PD+CC art
arrow	https://drawshield.net (Drawshield-Code svg/charges)	Karl Wilcox & DrawShield contributors	GPLv3 repo / mixed PD+CC art
arrows	https://drawshield.net (Drawshield-Code svg/charges)	Karl Wilcox & DrawShield contributors	GPLv3 repo / mixed PD+CC art
axe	https://drawshield.net (Drawshield-Code svg/charges)	Karl Wilcox & DrawShield contributors	GPLv3 repo / mixed PD+CC art
badger	https://drawshield.net (Drawshield-Code svg/charges)	Karl Wilcox & DrawShield contributors	GPLv3 repo / mixed PD+CC art
bamboo	https://drawshield.net (Drawshield-Code svg/charges)	Karl Wilcox & DrawShield contributors	GPLv3 repo / mixed PD+CC art
basilisk	https://drawshield.net (Drawshield-Code svg/charges)	Karl Wilcox & DrawShield contributors	GPLv3 repo / mixed PD+CC art
bear	https://drawshield.net (Drawshield-Code svg/charges)	Karl Wilcox & DrawShield contributors	GPLv3 repo / mixed PD+CC art
bee	https://drawshield.net (Drawshield-Code svg/charges)	Karl Wilcox & DrawShield contributors	GPLv3 repo / mixed PD+CC art
bell	https://drawshield.net (Drawshield-Code svg/charges)	Karl Wilcox & DrawShield contributors	GPLv3 repo / mixed PD+CC art
billet	https://drawshield.net (Drawshield-Code svg/charges)	Karl Wilcox & DrawShield contributors	GPLv3 repo / mixed PD+CC art
boar	https://drawshield.net (Drawshield-Code svg/charges)	Karl Wilcox & DrawShield contributors	GPLv3 repo / mixed PD+CC art
book	https://drawshield.net (Drawshield-Code svg/charges)	Karl Wilcox & DrawShield contributors	GPLv3 repo / mixed PD+CC art
bow	https://drawshield.net (Drawshield-Code svg/charges)	Karl Wilcox & DrawShield contributors	GPLv3 repo / mixed PD+CC art
bugle	https://drawshield.net (Drawshield-Code svg/charges)	Karl Wilcox & DrawShield contributors	GPLv3 repo / mixed PD+CC art
