symbol	file	commons title	licence	author	source
p	0070.ogg	File:Voiceless bilabial plosive.ogg	CC BY-SA 3.0	unknown	https://commons.wikimedia.org/wiki/File:Voiceless_bilabial_plosive.ogg
b	0062.ogg	File:Voiced bilabial plosive.ogg	CC BY-SA 3.0	unknown	https://commons.wikimedia.org/wiki/File:Voiced_bilabial_plosive.ogg
m	006d.ogg	File:Bilabial nasal.ogg	CC BY-SA 3.0	unknown	https://commons.wikimedia.org/wiki/File:Bilabial_nasal.ogg
f	0066.ogg	File:Voiceless labiodental fricative.ogg	CC BY-SA 3.0	unknown	https://commons.wikimedia.org/wiki/File:Voiceless_labiodental_fricative.ogg
v	0076.ogg	File:Voiced labiodental fricative.ogg	CC BY-SA 3.0	unknown	https://commons.wikimedia.org/wiki/File:Voiced_labiodental_fricative.ogg
p͡f	0070-0361-0066.ogg	File:Voiceless labiodental affricate.ogg	CC BY-SA 3.0	Adamsa123	https://commons.wikimedia.org/wiki/File:Voiceless_labiodental_affricate.ogg
b͡v	0062-0361-0076.ogg	File:Voiced labiodental affricate.ogg	CC BY-SA 3.0	Adamsa123	https://commons.wikimedia.org/wiki/File:Voiced_labiodental_affricate.ogg
ʙ	0299.ogg	File:Bilabial trill.ogg	CC BY-SA 3.0	unknown	https://commons.wikimedia.org/wiki/File:Bilabial_trill.ogg
w	0077.ogg	File:Voiced labio-velar approximant.ogg	CC BY-SA 3.0	unknown	https://commons.wikimedia.org/wiki/File:Voiced_labio-velar_approximant.ogg
t	0074.ogg	File:Voiceless alveolar plosive.ogg	CC BY-SA 3.0	unknown	https://commons.wikimedia.org/wiki/File:Voiceless_alveolar_plosive.ogg
d	0064.ogg	File:Voiced alveolar plosive.ogg	CC BY-SA 3.0	unknown	https://commons.wikimedia.org/wiki/File:Voiced_alveolar_plosive.ogg
n	006e.ogg	File:Alveolar nasal.ogg	CC BY-SA 3.0	unknown	https://commons.wikimedia.org/wiki/File:Alveolar_nasal.ogg
s	0073.ogg	File:Voiceless alveolar sibilant.ogg	CC BY-SA 3.0	Peter Isotalo	https://commons.wikimedia.org/wiki/File:Voiceless_alveolar_sibilant.ogg
z	007a.ogg	File:Voiced alveolar sibilant.ogg	CC BY-SA 3.0	unknown	https://commons.wikimedia.org/wiki/File:Voiced_alveolar_sibilant.ogg
t͡s	0074-0361-0073.oga	File:Voiceless alveolar sibilant affricate.oga	CC BY-SA 3.0	unknown	https://commons.wikimedia.org/wiki/File:Voiceless_alveolar_sibilant_affricate.oga
d͡z	0064-0361-007a.oga	File:Voiced alveolar sibilant affricate.oga	CC BY-SA 3.0	unknown	https://commons.wikimedia.org/wiki/File:Voiced_alveolar_sibilant_affricate.oga
l	006c.ogg	File:Alveolar lateral approximant.ogg	CC BY-SA 3.0	unknown	https://commons.wikimedia.org/wiki/File:Alveolar_lateral_approximant.ogg
r	0072.ogg	File:Alveolar trill.ogg	CC BY-SA 3.0	unknown	https://commons.wikimedia.org/wiki/File:Alveolar_trill.ogg
ɹ	0279.ogg	File:Alveolar approximant.ogg	CC BY-SA 3.0	Erutuon	https://commons.wikimedia.org/wiki/File:Alveolar_approximant.ogg
ʈ	0288.oga	File:Voiceless retroflex stop.oga	CC BY-SA 3.0	Recorded by Peter Isotalo.	https://commons.wikimedia.org/wiki/File:Voiceless_retroflex_stop.oga
k	006b.ogg	File:Voiceless velar plosive.ogg	CC BY-SA 3.0	unknown	https://commons.wikimedia.org/wiki/File:Voiceless_velar_plosive.ogg
ʔ	0294.ogg	File:Glottal stop.ogg	CC BY-SA 3.0	No machine-readable author provided. Peter Isotalo assumed (based on copyright claims).	https://commons.wikimedia.org/wiki/File:Glottal_stop.ogg
y	0079.ogg	File:Close front rounded vowel.ogg	CC BY-SA 3.0	No machine-readable author provided. Denelson83 assumed (based on copyright claims).	https://commons.wikimedia.org/wiki/File:Close_front_rounded_vowel.ogg
e	0065.ogg	File:Close-mid front unrounded vowel.ogg	CC BY-SA 3.0	No machine-readable author provided. Denelson83 assumed (based on copyright claims).	https://commons.wikimedia.org/wiki/File:Close-mid_front_unrounded_vowel.ogg
ɛ	025b.ogg	File:Open-mid front unrounded vowel.ogg	CC BY-SA 3.0	No machine-readable author provided. Denelson83 assumed (based on copyright claims).	https://commons.wikimedia.org/wiki/File:Open-mid_front_unrounded_vowel.ogg
o	006f.ogg	File:Close-mid back rounded vowel.ogg	CC BY-SA 3.0	No machine-readable author provided. Denelson83 assumed (based on copyright claims).	https://commons.wikimedia.org/wiki/File:Close-mid_back_rounded_vowel.ogg
a	0061.ogg	File:Open front unrounded vowel.ogg	CC BY-SA 3.0	No machine-readable author provided. Denelson83 assumed (based on copyright claims).	https://commons.wikimedia.org/wiki/File:Open_front_unrounded_vowel.ogg
