id,born,x,y,seatKind,insideRealm,alive,nCity,nStateless,nRealms,freeShare,km2,blocKm2,members,lived
35,14400,277,84,land,0,0,15,15,0,1.0000,0,0,0,15600
48,14600,275,82,land,0,0,12,12,0,1.0000,0,0,0,15400
60,14800,276,80,land,0,0,11,11,0,1.0000,0,0,0,15200
66,15000,281,95,land,0,0,23,23,0,1.0000,0,0,0,15000
70,15200,280,93,land,0,0,25,25,0,1.0000,0,0,0,14800
78,15400,279,86,land,0,0,22,22,0,1.0000,0,0,0,14600
1,16237,278,79,seat,0,0,14,14,0,1.0000,0,0,0,10950
112,16300,295,74,land,0,0,9,8,1,1.0000,0,0,0,13700
128,16500,297,74,land,0,0,8,8,0,1.0000,0,0,0,13500
5,16537,278,85,seat,0,0,18,8,4,0.4971,0,0,0,1050
9,16537,288,76,seat,0,0,9,7,2,0.9085,0,0,0,6600
14,16537,272,80,seat,0,0,9,0,3,0.3465,0,0,0,8250
121,16537,278,83,seat,0,0,17,5,5,0.3924,0,0,0,4350
133,16687,278,86,seat,0,0,19,10,4,0.5480,0,0,0,10650
140,16700,297,76,land,0,0,11,10,1,0.9833,0,0,0,13300
13,16837,273,70,seat,0,0,5,3,2,0.7653,0,0,0,7263
24,16837,280,71,seat,0,1,6,4,2,0.8889,11453,133618,1,13163
141,16837,280,85,seat,0,0,21,4,6,0.3681,0,0,0,2113
144,16837,289,76,seat,0,0,9,8,1,0.9342,0,0,0,300
148,16837,280,87,seat,1,0,20,6,8,0.4706,0,0,0,11400
155,16987,283,89,seat,0,1,20,9,5,0.5909,3818,3818,1,13013
7,17137,277,69,seat,0,1,6,4,2,0.8099,3818,3818,1,12863
50,17137,287,89,seat,0,0,13,7,2,0.7899,0,0,0,9750
156,17137,289,76,seat,1,0,9,8,1,0.9342,0,0,0,150
163,17287,273,84,seat,1,0,23,6,10,0.3757,0,0,0,2850
3,17287,276,83,seat,0,0,24,4,11,0.2112,0,0,0,450
17,17287,280,91,seat,0,1,33,9,7,0.3029,15271,15271,1,12713
170,17437,276,79,seat,1,0,16,1,8,0.0531,0,0,0,4650
171,17437,280,87,seat,1,0,29,6,11,0.2059,0,0,0,9150
173,17437,289,76,seat,1,0,12,9,3,0.8684,0,0,0,150
186,17500,331,82,land,0,1,5,5,0,1.0000,53447,106895,1,12500
187,17500,282,98,land,0,0,15,6,1,0.7225,0,0,0,12500
165,17587,285,89,seat,1,0,18,2,8,0.2867,0,0,0,600
184,17587,288,75,seat,1,0,15,11,4,0.8367,0,0,0,3600
188,17587,277,71,seat,1,0,10,3,5,0.3021,0,0,0,163
194,17587,289,76,seat,1,0,16,13,3,0.8684,0,0,0,300
209,17700,333,81,land,0,0,6,6,0,1.0000,0,0,0,10237
196,17737,284,79,seat,1,0,13,2,8,0.4959,0,0,0,150
198,17737,276,83,seat,1,0,16,0,9,0.1925,0,0,0,313
200,17737,276,79,seat,1,0,15,0,9,0.0619,0,0,0,313
202,17737,275,71,seat,1,0,8,0,5,0.2021,0,11453,0,12150
211,17737,282,91,seat,1,0,25,2,8,0.1265,0,0,0,2463
215,17887,277,65,seat,1,1,17,8,8,0.6795,30541,30541,1,12113
218,17887,275,65,seat,1,0,16,7,8,0.7055,0,0,0,9213
220,17887,276,67,seat,1,1,16,6,9,0.6301,26724,26724,2,12113
222,17887,279,65,seat,1,0,21,12,8,0.6623,0,0,0,300
224,17887,278,85,seat,1,1,20,0,14,0.1053,61083,255783,3,12113
228,17887,289,76,seat,1,0,16,13,3,0.8553,0,0,0,300
6,17887,274,82,seat,0,0,14,0,12,0.1935,0,0,0,450
235,17900,343,80,land,0,0,5,5,0,1.0000,0,0,0,10037
230,18037,276,81,seat,1,0,17,0,14,0.0942,0,0,0,900
241,18037,269,81,seat,1,0,12,3,8,0.5070,0,0,0,7500
242,18037,278,68,seat,1,0,18,5,8,0.3985,0,0,0,313
245,18037,270,79,seat,1,1,14,3,9,0.3929,30541,30541,2,11963
64,18037,272,78,seat,0,0,14,2,11,0.2268,0,0,0,3963
39,18187,293,58,seat,0,0,10,10,0,1.0000,0,0,0,11400
116,18187,293,73,seat,0,1,20,16,4,0.9185,15271,15271,1,11813
119,18187,303,80,seat,0,0,6,6,0,1.0000,0,0,0,4950
137,18187,291,74,seat,0,0,21,16,5,0.8772,0,0,0,4800
246,18187,285,84,seat,0,0,15,3,11,0.3129,0,0,0,8250
252,18187,274,82,seat,1,1,16,0,13,0.2387,76353,133618,1,11813
254,18187,289,76,seat,1,0,17,11,6,0.7632,0,0,0,300
256,18187,284,79,seat,1,0,14,2,10,0.3140,0,0,0,300
257,18337,281,80,seat,1,0,18,1,15,0.1639,0,0,0,313
